Run1 Run2 Run3 Run4 Run1wps Run2wps Run3wps
0.4181 0.4163 0.4109 0.3349 0.3951 0.3933 0.3891
0.0373 0.0370 0.0349 0.0347 0.0373 0.0370 0.0349
0.2184 0.2163 0.2198 0.2221 0.2229 0.2216 0.2210
0.0750 0.0729 0.0801 0.1026 0.0778 0.0760 0.0849
0.0765 0.0768 0.0857 0.0702 0.0740 0.0744 0.0798
0.0104 0.0105 0.0105 0.0120 0.0107 0.0108 0.0107
0.2657 0.2688 0.2688 0.2732 0.2792 0.2816 0.2742
0.2395 0.2399 0.2313 0.1327 0.1297 0.1304 0.1295
0.0155 0.0162 0.0151 0.0204 0.0160 0.0171 0.0159
0.2238 0.2184 0.2233 0.3910 0.4156 0.4161 0.4082
0.3065 0.3065 0.3038 0.2564 0.3170 0.3170 0.3156
0.0739 0.0729 0.0776 0.0906 0.0759 0.0756 0.0798
0.0437 0.0432 0.0431 0.1594 0.0948 0.0951 0.0940
0.4758 0.4758 0.4778 0.5314 0.4864 0.4864 0.4887
0.6838 0.6834 0.6682 0.6964 0.6838 0.6834 0.6702
0.3936 0.3676 0.4407 0.2415 0.2487 0.2367 0.3518
0.0774 0.0774 0.0764 0.0767 0.0778 0.0778 0.0767
0.4264 0.4267 0.3813 0.4257 0.4489 0.4489 0.4204
0.2703 0.2703 0.2657 0.2657 0.2703 0.2703 0.2657
0.0968 0.0922 0.0927 0.0868 0.0966 0.0921 0.0924
0.0021 0.0021 0.0019 0.0022 0.0024 0.0024 0.0022
0.1370 0.1297 0.1575 0.1008 0.1368 0.1291 0.1569
0.3783 0.3765 0.3752 0.3986 0.4268 0.4269 0.4187
0.2292 0.2283 0.2211 0.2812 0.2293 0.2283 0.2212
0.1793 0.1814 0.1735 0.1737 0.1823 0.1848 0.1757
0.0137 0.0165 0.0126 0.0178 0.0137 0.0165 0.0126
0.3113 0.3105 0.3125 0.1569 0.3117 0.3108 0.3126
0.0047 0.0048 0.0041 0.0044 0.0048 0.0049 0.0042
0.0704 0.0704 0.0702 0.3523 0.0705 0.0705 0.0703
0.1909 0.1903 0.1882 0.1460 0.1513 0.1488 0.1508
0.0303 0.0301 0.0246 0.0258 0.0318 0.0317 0.0266
0.5199 0.5194 0.5153 0.3540 0.5201 0.5201 0.5157
0.0213 0.0216 0.0213 0.0126 0.0239 0.0243 0.0229
0.1840 0.1849 0.1888 0.1833 0.1841 0.1849 0.1888
0.2660 0.2685 0.2677 0.2146 0.2676 0.2686 0.2684
0.0326 0.0325 0.0311 0.0141 0.0097 0.0100 0.0091
0.1153 0.1154 0.1128 0.1135 0.1146 0.1147 0.1130
0.0188 0.0197 0.0167 0.0477 0.0478 0.0478 0.0442
0.0380 0.0371 0.0383 0.0134 0.0161 0.0155 0.0165
0.0824 0.0844 0.0820 0.0780 0.0824 0.0844 0.0820
0.0940 0.0931 0.2820 0.1531 0.0940 0.0931 0.2820
0.4528 0.4528 0.4453 0.1124 0.1787 0.1787 0.1729
0.0586 0.0588 0.0555 0.0820 0.0538 0.0541 0.0456
0.0084 0.0092 0.0065 0.0140 0.0084 0.0092 0.0065
0.1061 0.1061 0.1044 0.1044 0.1060 0.1060 0.1044
0.2734 0.2815 0.2770 0.2792 0.2697 0.2775 0.2747
0.4059 0.4064 0.4044 0.1975 0.4059 0.4064 0.4044
0.0115 0.0127 0.0118 0.0076 0.0140 0.0156 0.0172
0.1012 0.1010 0.0955 0.0589 0.0896 0.0894 0.0866
0.3728 0.3709 0.3651 0.3379 0.3711 0.3696 0.3640
